GRUPO;ASIGNACION;IMEI;ICC
NACIONAL;PAC5235 (67/1093);867162029855301';8959301000928331672F
NACIONAL;PAC5969 (56/1076);867162029815339';
NACIONAL;PAC6120 (54/1077);867162029827904';8959301000927514666F
NACIONAL;PAC8303 (51/1084);867162029817905';
NACIONAL;PAU0059 (18/1087);867162029867447';
NACIONAL;PAU0118 (84/1079);867162029825767';8959301000927514344F
NACIONAL;PUA0453 (87/1107);867162029829371';8959301000927514369F
NACIONAL;PUA0544 (39/1095);867162029830403';8959301000927514328F
NACIONAL;PUB0233 (57/1089);867162029825866';8959301000927517628F
NACIONAL;PUB0347 (31/1083);867162029821824';8959301000927514773F
NACIONAL;PUB0908 (36/1081);867162029899275';8959301001025790414F
NACIONAL;PUC0800 (50/1071);867162029828183';8959301000928331920F
NACIONAL;PUD0216 (27/1099);867162029813334';8959301000941577897F
NACIONAL;PUG0157 (09/1097);868789021004691';8959301000971874826f
NACIONAL;PUG0707 (59/1090);867162029810520';8959301000928332191F
NACIONAL;PUH0211 (62/1100);867162027808039';8959301000928431126F
NACIONAL;PUJ0590 (08/1112);867162029819299';8959301001081632682F
NACIONAL;PZO0079 (65/1101);867162027434166';
NACIONAL;PZO0395 (20/1118);867162029875390';
NACIONAL;PZU0526 (15/1110);867162029891272';8959301000985660161F
NACIONAL;TAA1131 (80/1103);867162029845047';
PASAJEROS;ACG0794;869731050100411';
PASAJEROS;JR322A;869731059247288';
PASAJEROS;PBC8527;869731050773092';
PASAJEROS;PBL3301;869731059247395';
PASAJEROS;PBN4615;860016023122653';
PASAJEROS;PCG7987;869731050763952';
PASAJEROS;PCJ4338;869731050773134';
PASAJEROS;PCK5943;869731050768126';
PASAJEROS;PCN3186;867162029892601';
PASAJEROS;PCW3287;868166055304893';
PASAJEROS;PDB8953;869731050762764';
PASAJEROS;PDD6849;869731050102060';
PASAJEROS;PDF4728;869731050764174';
PASAJEROS;PDF6869;869731050773126';
PASAJEROS;PDH3343;358511023121043';
PASAJEROS;PDR6809;869731050103571';
PASAJEROS;PDS6303;869731050088996';
PASAJEROS;PDS9298;869731051783686';
PASAJEROS;PDT4371;869731050787662';
PASAJEROS;PDT8711;869731050762673';
PASAJEROS;PDU6192;869731050102607';
PASAJEROS;PFD3893;869731050762707';
PASAJEROS;PFF7098;869731050762699';
PASAJEROS;PFM7309;864180039375949';
PRECISOGPS;CAMARA_HOWEN;22062415';
PRECISOGPS;JS476T;868166055304869';
PRECISOGPS;JV080Y;868166055303853';
PRECISOGPS;LBN0264;867162029874393';
PRECISOGPS;PDZ7990;867162029869245';8959301000953710162F
QUITUMBE;PAA9219 (43/1759);867162029865581';8959301001049890703F
QUITUMBE;PAA9744 (14/1783);867162027816099';8959301000927526926F
QUITUMBE;PAB3632 (56/1779);867162029883147';8959301000971874644F
QUITUMBE;PAB3807 (51/1763);867162027819291';8959301000928431647F
QUITUMBE;PAB3928 (32/1737);867162029813813';8959301000941574605F
QUITUMBE;PAB4539 (38/1761);867162029887411';8959301000928431597F
QUITUMBE;PAB5190 (13/1738);867162027804103';8959301000928431423F
QUITUMBE;PAB5486 (54/1770);867162029887551';8959301000927515432F
QUITUMBE;PAB5634 (17/1780);867162029870227';8959301000933072071F
QUITUMBE;PAB5678 (08/1748);867162027819465';8959301000928331714F
QUITUMBE;PAB6001 (66/1753);867162027817725';8959301000927514302F
QUITUMBE;PAB6084 (30/1795);867162029883352';8959301000971874693F
QUITUMBE;PAB6144 (06/1736);867162029882933';8959301000971874529F
QUITUMBE;PAB6478 (53/1765);867162029879046';8959301000928431514F
QUITUMBE;PAB6922 (40/1790);867162027825025';8959301000928331995F
QUITUMBE;PAB7100 (48/1781);867162027821636';8959301000928430979F
QUITUMBE;PAB9375 (05/1782);867162027811322';8959301000928431381F
QUITUMBE;PAB9473 (20/1745);867162027824853';8959301000928331904F
QUITUMBE;PAC1422 (60/1739);867162029860798';8959301000928431001F
QUITUMBE;PAC3082 (45/1792);867162029820594';8959301000927526959F
QUITUMBE;PAC3086 (55/1747);867162027819366';8959301000928431639F
QUITUMBE;PAC3139 (29/1756);867162029884509';8959301000971875047F
QUITUMBE;PAC3216 (70/0951);867162029870219';8959301000928430987F
QUITUMBE;PAC3348 (31/1791);867162027817063';
QUITUMBE;PAC3377 (34/1767);867162027797448';8959301000928430995F
QUITUMBE;PAC3381 (22/1793);867162027821784';8959301000927526868F
QUITUMBE;PAC3514 (59/1752);867162027816057';8959301000928431548F
QUITUMBE;PAC3515 (26/1754);867162027818798';8959301000928431068F
QUITUMBE;PAC3528 (24/1773);867162027821487';8959301000928332134F
QUITUMBE;PAC3617 (57/1741);867162027795251';
QUITUMBE;PAC3618 (68/966);867162029885951';
QUITUMBE;PAC3619 (35/1787);867162027823731';8959301000927517818F
QUITUMBE;PAC3821 (01/1735);867162027796093';8959301000928332100F
QUITUMBE;PAC4079 (10/1785);867162029827581';8959301000928431340F
QUITUMBE;PAC4253 (37/1794);867162027808898';8959301000928332159F
QUITUMBE;PAC4476 (61/1755);867162027804640';8959301000928331961F
QUITUMBE;PAC4633 (69/0942);867162027810258';8959301000928431571F
QUITUMBE;PAC4651 (39/1778);867162027796218';8959301000927527429F
QUITUMBE;PAC4652 (33/1772);867162029815990';8959301000927527452F
QUITUMBE;PAC4653 (23/1764);867162027816925';8959301000927526876F
QUITUMBE;PAC4721 (16/1758);867162029874070';8959301000927526967F
QUITUMBE;PAC4804 (52/1774);867162027811009';8959301000928331862F
QUITUMBE;PAC5200 (41/1760);867162029899200';8959301001049891776F
QUITUMBE;PAC5364 (42/0949);867162029911419';8959301000928431050F
QUITUMBE;PAC5389 (28/1766);867162027825900';8959301000928431167F
QUITUMBE;PAC5528 (27/1742);867162027826296';8959301000928431035F
QUITUMBE;PAC5762 (71/0968);867162029884202';8959301000927526884F
QUITUMBE;PAC6746 (50/1749);867162027820604';8959301000928431019F
QUITUMBE;PAC7092 (04/1786);867162027823657';8959301000928431431F
QUITUMBE;PAC7825 (67/0947);867162027805886';8959301000928331706F
QUITUMBE;PAC7899 (21/1771);867162027814516';8959301000928331847F
QUITUMBE;PAC8112 (02/1789);867162027815174';8959301000928332126F
QUITUMBE;PAC8235 (58/1740);867162027804673';8959301001025790588F
QUITUMBE;PAC8844 (36/1743);867162027816719';8959301000928431522F
QUITUMBE;PAC9321 (47/1777);867162027824564';8959301000928331979F
QUITUMBE;PAC9894 (65/0953);867162029829314';8959301000928332167F
QUITUMBE;PAE1831(64/0945);867162029860343';8959301000985660021F
QUITUMBE;PAE2154 (46/1744);867162029914033';8959301000985665004F
QUITUMBE;PAE3061 (11/1788);867162027815539';8959301000928431415F
QUITUMBE;PAE3090 (18/1775);867162029823689';8959301000927526975F
QUITUMBE;PAE3365 (15/1776);867162027799667';8959301000927526934F
QUITUMBE;PAI0598 (12/1784);867162027824606';8959301000927526892F
QUITUMBE;PUB0760 (63/0970);867162029871720';8959301000928431407F
QUITUMBE;PUC0420 (44/1762);867162029891629';8959301000927527072F
QUITUMBE;PUD0356 (25/1750);867162027820273';8959301000928431563F
QUITUMBE;PUD0634 (07/1746);867162027802198';
QUITUMBE;PUG0464 (19/1769);867162027806884';8959301000927526918F
QUITUMBE;PUG0556 (03/1768);867162027820323';8959301000927526900F
QUITUMBE;PUH0151 (09/1757);;
QUITUMBE;PUH0184 (49/1751);867162027817311';8959301000928431043F
QUITUMBE;PUJ0179 (62/0960);867162027817691';8959301000928431530F
RUTVITRANSA;PAB5401 (13/5113).;867162029868841';
RUTVITRANSA;PAB5402 (08/5102).;867162029861051';8959301000971874891F
RUTVITRANSA;PAB5433 (05/5098).;867162029862190';
RUTVITRANSA;PAB5449 (12/5110).;867162029915477';8959301000971874768F
RUTVITRANSA;PAB6543 (06/5099).;867162029869195';
RUTVITRANSA;PAE1978 (15/5115).;867162029869492';8959301000971874560F
RUTVITRANSA;PAE1981 (04/5097).;867162029871837';8959301000971874578F
RUTVITRANSA;PAE1985 (16/5117).;867162029873304';
RUTVITRANSA;PAE2005 (03/5096).;867162029897337';8959301000985660203F
RUTVITRANSA;PAE2017 (14/5114).;867162029888542';
RUTVITRANSA;PAE2032 (01/5094).;867162029900057';8959301000971874743F
RUTVITRANSA;PAE2055 (07/5101).;867162029899184';8959301000971874800F
RUTVITRANSA;PAE2183 (11/5109).;867162029898608';8959301000971874586F
RUTVITRANSA;PAE3315 (02/5095).;867162029910486';8959301000971874818F
RUTVITRANSA;PAE3345 (09/5107).;867162029898665';8959301000971874776F
RUTVITRANSA;PAE3366 (10/5108).;867162029882818';
SIRENA;GSR1339 (15/5136);867162029891710';8959301001049891123F
SIRENA;PAB6540 (02/5135);867162029889235';8959301001049890612F
SIRENA;PAB6576 (09/5118);867162029883915';8959301001049891073F
SIRENA;PAB6579 (11/5129);867162029883626';8959301001049891784F
SIRENA;PAB6644 (04/5120);867162029886348';8959301001049890570F
SIRENA;PAB6660 (10/5122);867162029874955';8959301001049891024F
SIRENA;PAB6661 (06/5128);867162029879970';8959301001049891636F
SIRENA;PAB6662 (01/5141);867162029883113';8959301001049891313F
SIRENA;PAB6765 (05/5127);867162029893005';8959301001049890646F
SIRENA;PAB6766 (03/5132);867162029890118';8959301001049891008F
SIRENA;PAB7032 (08/5124);867162029893096';8959301001049890430F
SIRENA;PAE1785 (20/5140);867162029872371';8959301000994035579F
SIRENA;PAE1786 (21/5142);867162029878709';8959301001049891651F
SIRENA;PAE1787 (19/5134);867162029872660';8959301001049890950F
SIRENA;PAE1807 (25/5119);867162029889326';8959301001049890935F
SIRENA;PAE1808 (22/5137);867162029889086';8959301001049891040F
SIRENA;PAE1809 (24/5123);867162029885126';8959301001049890406F
SIRENA;PAE1812 (23/5125);867162029884525';8959301001049890638F
SIRENA;PAE2082 (17/5133);867162029873007';8959301001049891669F
SIRENA;PAE2083 (16/5126);867162029898376';8959301001049891362F
SIRENA;PAE2085 (18/5121);867162029886702';8959301001049891461F
SIRENA;PAE2087 (13/5131);867162029888385';8959301001049890471F
SIRENA;PAE2091 (14/5138);867162029892858';8959301001049890901F
SIRENA;PAE2093 (07/5130);867162029892734';8959301001049890844F
SIRENA;PAE2094 (12/5139);867162029880630';8959301001049890448F
TRANSFLORESTA;PAB4904 (01/8101);867162029877230';8959301000933071826F
TRANSFLORESTA;PAB5138 (05/8105);867162029915360';8959301000933072154F
TRANSFLORESTA;PAB6589 (21/8018);867162029823150';8959301000985660062F
TRANSFLORESTA;PAB7435 (08/8108);867162029873643';8959301000933072246F
TRANSFLORESTA;PAB9582 (06/8106);867162029884467';8959301000933072030F
TRANSFLORESTA;PAC4107 (19/8019);867162029830742';8959301000985660088F
TRANSFLORESTA;PAC4971 (24/3706);867162029877115';8959301001025790943F
TRANSFLORESTA;PAC5201 (11/8111);867162029877727';8959301000933072006F
TRANSFLORESTA;PAC8625 (09/8109);867162029900255';8959301000971874966F
TRANSFLORESTA;PAC8977 (13/8113);867162029877958';8959301000941577574F
TRANSFLORESTA;PAC9712 (10/8110);867162029899176';
TRANSFLORESTA;PAC9904 (12/8112);867162029869757';8959301000933072048F
TRANSFLORESTA;PAC9952 (07/8107);867162029874351';8959301000941574571F
TRANSFLORESTA;PAE2232 (03/8103);867162029877255';
TRANSFLORESTA;T03249483 (04/0000);867162029875184';8959301001049890737F
TRANSFLORESTA;TAA2812 (02/8102);867162029873478';8959301000971877068F
SOTRANOR;PAB7040 (47/8020);869731050762780';
SOTRANOR;PAC9874 (37/3823);868166055304752';
TRANSPORSEL;PAA9435 (24/1238);867162029840949';8959301000927527882F
TRANSPORSEL;PAA9491 (32/1251);867162029835535';8959301000927527262F
TRANSPORSEL;PAB1797 (40/1266);867162029814753';8959301000927527270F
TRANSPORSEL;PAB2049 (01/1197);867162029881042';8959301000927527379F
TRANSPORSEL;PAB2397 (44/1225);867162029827730';8959301000927514930F
TRANSPORSEL;PAB3785 (30/1249);867162029841905';8959301000927527395F
TRANSPORSEL;PAB4203 (22/1235);867162029834942';8959301000927527387F
TRANSPORSEL;PAB5288 (18/1226);867162029830122';8959301000927527627F
TRANSPORSEL;PAB5604 (55/3861);867162029833472';
TRANSPORSEL;PAB6874 (71/1257);867162029874419';8959301000927527783F
TRANSPORSEL;PAB7402 (50/3724);867162029814522';8959301000928331870F
TRANSPORSEL;PAB7664 (52/3857);867162029814514';8959301000928331813F
TRANSPORSEL;PAB7671 (49/3855);867162026876524';8959301000927514971F
TRANSPORSEL;PAB7677 (47/3854);867162029811742';
TRANSPORSEL;PAB7698 (46/3856);867162029825957';
TRANSPORSEL;PAB8566 (53/3860);867162029823200';
TRANSPORSEL;PAB9949 (54/3858);867162029810801';8959301000928332142F
TRANSPORSEL;PAB9962 (51/3859);867162029814423';8959301000927514906F
TRANSPORSEL;PAC1338 (41/1232);867162029815883';8959301000985660112F
TRANSPORSEL;PAC1406 (25/1241);867162029850112';8959301000927527312F
TRANSPORSEL;PAC1534 (19/1230);867162029829710';8959301000927515465F
TRANSPORSEL;PAC1574 (26/1242);867162029832094';
TRANSPORSEL;PAC1587 (42/1215);867162029821063';
TRANSPORSEL;PAC1589 (27/1245);867162029833043';8959301000927527510F
TRANSPORSEL;PAC1817 (28/1246);867162029821345';8959301000927527221F
TRANSPORSEL;PAC2224 (34/1254);867162029830486';8959301000927527239F
TRANSPORSEL;PAC2396 (15/1220);867162029841467';
TRANSPORSEL;PAC3003 (12/1214);867162029815156';8959301000927527601F
TRANSPORSEL;PAC3032 (21/1234);867162029823317';8959301000927527346F
TRANSPORSEL;PAC3244 (29/1247);867162029841343';8959301000927514724F
TRANSPORSEL;PAC4347 (63/1259);867162029836566';8959301000927527098F
TRANSPORSEL;PAC4897 (20/1231);867162029838802';8959301000927514203F
TRANSPORSEL;PAC5861 (74/1255);867162029842366';8959301000927514997F
TRANSPORSEL;PAC7047 (09/1243);867162029813565';8959301000927515127F
TRANSPORSEL;PAC8674 (02/1198);867162029820883';8959301000927527460F
TRANSPORSEL;PAC8851 (36/1261);867162029836897';8959301000941577855F
TRANSPORSEL;PAC9203 (14/1219);867162029856457';8959301000927514765F
TRANSPORSEL;PAE3337 (35/1256);867162029817434';8959301000927514856F
TRANSPORSEL;PAU0028 (04/1200);867162029834967';8959301000927515457F
TRANSPORSEL;PDB4811 (17/1224);867162029826922';8959301000927514864F
TRANSPORSEL;PUC0240 (31/1250);867162029825270';8959301000927514880F
TRANSPORSEL;PUC0953 (43/1271);867162029850575';8959301000927527361F
TRANSPORSEL;PUD0365 (03/1199);867162029822772';8959301000927515119F
TRANSPORSEL;PUD0379 (13/1217);867162029898954';
TRANSPORSEL;PUD0568 (33/1253);867162029886983';8959301000971874545F
TRANSPORSEL;PUD0921 (08/1208);867162029829363';8959301000927527304F
TRANSPORSEL;PUG0505 (37/1263);867162029884442';
TRANSPORSEL;PUH0160 (05/1201);867162029830601';8959301000927527411F
TRANSPORSEL;PUH0174 (48/1258);867162029836970';8959301000927527080F
TRANSPORSEL;PUH0331 (10/1209);867162029824059';8959301000927515440F
TRANSPORSEL;PUH0885 (23/1236);867162029878535';8959301000994035850F
TRANSPORSEL;PUJ0396 (39/1265);867162029822491';8959301000927514831F
TRANSPORSEL;PUK0193 (38/1264);867162029832219';8959301000927527296F
TRANSPORSEL;PZO0612 (06/1203);867162029813540';8959301000927527247F
TRANSPORSEL;PZU0272 (11/1211);867162029875176';8959301001049890604F
TRANSPORSEL;PZU0355 (16/1221);867162029841921';
TRANSPORSEL;PZX0964 (07/1206);867162029829918';8959301000941577293F
TRANSPERIFERICOS;PAB4897 (53/5224);867162029871845';8959301001025790695F
TRANSPERIFERICOS;PAB5235 (75/5246);867162029861820';8959301000971875385F
TRANSPERIFERICOS;PAB5290 (18/5189);867162029878139';8959301001025791107F
TRANSPERIFERICOS;PAB5303 (51/5222);867162029881034';8959301000971875112F
TRANSPERIFERICOS;PAB5304 (13/5184);867162029916681';8959301001025790547F
TRANSPERIFERICOS;PAB5317 (25/5196);867162029872678';8959301001049891677F
TRANSPERIFERICOS;PAB5319 (55/5226);867162029872090';
TRANSPERIFERICOS;PAB5322 (44/5215);867162029914322';
TRANSPERIFERICOS;PAB5329 (87/5258);867162029869716';8959301000971875088F
TRANSPERIFERICOS;PAB5331 (30/5201);867162029865649';8959301001025790455F
TRANSPERIFERICOS;PAB5333 (66/5237);867162029867116';8959301000971875328F
TRANSPERIFERICOS;PAB5337 (85/5256);867162029885274';8959301000994035603F
TRANSPERIFERICOS;PAB5344 (06/5177);867162029873387';
TRANSPERIFERICOS;PAB5350 (32/5203);867162029860996';8959301000971875237F
TRANSPERIFERICOS;PAB5352 (71/5242);867162029876901';8959301001049890794F
TRANSPERIFERICOS;PAB5354 (21/5192);867162029877834';8959301001049890729F
TRANSPERIFERICOS;PAB5355 (56/5227);867162029877446';8959301000971875211F
TRANSPERIFERICOS;PAB5365 (81/5252);867162029866522';8959301001025790869F
TRANSPERIFERICOS;PAB5388 (49/5220);867162029862794';
TRANSPERIFERICOS;PAB5389 (64/5235);867162029869138';8959301001025790430F
TRANSPERIFERICOS;PAB5391 (61/5232);867162029896255';8959301001025791016F
TRANSPERIFERICOS;PAB5392 (72/5243);867162029886116';
TRANSPERIFERICOS;PAB5398 (73/5244);867162029869641';8959301000971874941F
TRANSPERIFERICOS;PAB5403 (58/5229);867162029869443';8959301000971875351F
TRANSPERIFERICOS;PAB5415 (02/5173);867162029880127';
TRANSPERIFERICOS;PAB5418 (76/5247);867162029883295';8959301001025790604F
TRANSPERIFERICOS;PAB5424 (68/5239);867162029915188';8959301000971874925F
TRANSPERIFERICOS;PAB5425 (60/5231);867162029871910';8959301000971875302F
TRANSPERIFERICOS;PAB5426 (82/5253);867162029873460';8959301000971875294F
TRANSPERIFERICOS;PAB5428 (52/5223);867162029865870';8959301000971875070F
TRANSPERIFERICOS;PAB5432 (01/5172);867162029874476';8959301001025790893F
TRANSPERIFERICOS;PAB5434 (23/5194);867162029873767';8959301001049891065F
TRANSPERIFERICOS;PAB5436 (45/5216);867162029886090';
TRANSPERIFERICOS;PAB5437 (62/5233);867162029912334';8959301000971875138F
TRANSPERIFERICOS;PAB5438 (79/5250);00710247CA';
TRANSPERIFERICOS;PAB5439 (48/5219);867162029884103';8959301001025790984F
TRANSPERIFERICOS;PAB5479 (65/5236);867162029874567';8959301001025790794F
TRANSPERIFERICOS;PAB5481 (07/5178);867162029876562';8959301000971875179F
TRANSPERIFERICOS;PAB5500 (86/5257);867162029912409';8959301000971875203F
TRANSPERIFERICOS;PAB6506 (69/5240);867162029891918';8959301000971875120F
TRANSPERIFERICOS;PAB6515 (12/5183);867162029899358';8959301000994035876F
TRANSPERIFERICOS;PAB6532 (83/5254);867162029902087';8959301000971875096F
TRANSPERIFERICOS;PAB6550 (28/5199);867162029912227';8959301000941577277F
TRANSPERIFERICOS;PAB6554 (74/5245);867162029874724';8959301000971875377F
TRANSPERIFERICOS;PAB6581 (39/5210);867162029862695';8959301001025790737F
TRANSPERIFERICOS;PAB6591 (14/5185);867162029871761';8959301000971875245F
TRANSPERIFERICOS;PAB6596 (33/5204);867162029863537';8959301000971875062F
TRANSPERIFERICOS;PAB6611 (38/5209);867162029863321';8959301001025791305F
TRANSPERIFERICOS;PAB6620 (43/5214);867162029878592';8959301001025790687F
TRANSPERIFERICOS;PAB6646 (27/5198);867162029868239';
TRANSPERIFERICOS;PAB6733 (03/5174);867162029883691';8959301001090344451F
TRANSPERIFERICOS;PAB6734 (70/5241);867162029867538';8959301000971874958F
TRANSPERIFERICOS;PAB6763 (41/5212);867162029865177';8959301000971875393F
TRANSPERIFERICOS;PAB6769 (84/5255);867162029868981';8959301000971875286F
TRANSPERIFERICOS;PAB6792 (80/5251);867162029891181';8959301001025790422F
TRANSPERIFERICOS;PAB6795 (24/5195);867162029876190';8959301001025790786F
TRANSPERIFERICOS;PAB6802 (78/5249);867162029915741';8959301001025790828F
TRANSPERIFERICOS;PAB6806 (63/5234);867162029872488';8959301000971875153F
TRANSPERIFERICOS;PAB6820 (47/5218);867162029916210';8959301001025790711F
TRANSPERIFERICOS;PAB6830 (40/5211);867162029868965';8959301000971874917F
TRANSPERIFERICOS;PAB6835 (20/5191);867162029869146';8959301001049891628F
TRANSPERIFERICOS;PAB6847 (29/5200);867162029881299';8959301001049891396F
TRANSPERIFERICOS;PAB6849 (77/5248);867162029889557';8959301001025790729F
TRANSPERIFERICOS;PAB6888 (88/5259);867162029916095';8959301001025791180F
TRANSPERIFERICOS;PAB6894 (67/5238);867162029863933';8959301000941577269F
TRANSPERIFERICOS;PAB6936 (54/5225);867162029865664';8959301001025790810F
TRANSPERIFERICOS;PAB7161 (50/5221);867162029916079';
TRANSPERIFERICOS;PAB7214 (34/5205);867162029891835';8959301001049891198F
TRANSPERIFERICOS;PAB7470 (46/5217);867162029869351';8959301001025790489F
TRANSPERIFERICOS;PAE1846 (37/5208);867162029885985';8959301000971875278F
TRANSPERIFERICOS;PAE3312 (92/5056);867162027363316';8959301001090344410F
TRANSPERIFERICOS;PAE3342 (36/5207);867162029869229';
TRANSPERIFERICOS;PAE3384 (42/5213);867162029896586';8959301000971875195F
URBANQUITO;PAB3662 (23/3742);867162029891074';8959301001049891503F
URBANQUITO;PAC9210 (18/2347);867162029900297';8959301001049891537F
URBANQUITO;PAE1849 (14/2310);867162029878675';8959301001049891545F
URBANQUITO;PAE1850 (15/2311);867162027807650';8959301001049891560F
URBANQUITO;PAE1853 (17/2346);867162029815768';8959301001049891552F
URBANQUITO;PAE1854 (16/2342);867162029817327';8959301001049891529F
XTRIM;NODO HUAQUILLAS;357073294316886';8959301001049891420F
XTRIM;NODO QUITO;352625692085135';8959301001025790521F
KINARA;PAB3605 (08/8201);867162029880952';
KINARA;PAB5294 (01/8208);0071040CEC';
KINARA;PAB5684 (14/3720);867162029889532';
KINARA;PAC8795 (05/8209);867162029878352';
KINARA;PAC8913 (04/8207);867162029897451';
KINARA;PAC8964 (07/8202);867162029886777';
KINARA;PAC9696 (13/3819);867162029884723';
KINARA;PAC9697 (03/8203);867162029879111';
KINARA;PAC9698 (10/3821);0071040C94';
KINARA;PAC9699 (06/8206);867162029889037';
KINARA;PAC9700 (09/8205);867162029878550';
KINARA;PAC9701 (11/3818);867162029897782';
KINARA;PAC9702 (12/3820);867162029881083';
KINARA;PAC9998 (02/8204);867162029890738';
